Ticker,Anomaly_Events,Large_Moves,Hit_Rate,Average_5D_Return,Average_Absolute_5D_Return
CVX,19,9,0.47368421052631576,0.0004171026598541563,0.05828113926156579
MSFT,13,6,0.46153846153846156,-0.0018829540603838653,0.05354260685391913
NVDA,11,5,0.45454545454545453,-0.01366196738231883,0.048107177997180985
TSLA,18,8,0.4444444444444444,0.03936506142978882,0.0798587972020672
BA,17,7,0.4117647058823529,-0.06839296196036422,0.09078846038666143
JPM,13,5,0.38461538461538464,-0.017753988992599716,0.04264293207427661
XOM,9,3,0.3333333333333333,-0.03051683791127307,0.05499402150317118
PFE,19,6,0.3157894736842105,-0.0034732165555874457,0.047048382027698316
CAT,17,5,0.29411764705882354,-0.014525185227072154,0.03827782756966219
MA,20,5,0.25,0.014862689649853178,0.03457671804768927
AAPL,20,5,0.25,0.013422379022548475,0.04130268982653474
GS,15,3,0.2,-0.02027437015535761,0.04818508573733205
WMT,25,5,0.2,0.007313293335685138,0.03150867762538638
KO,22,2,0.09090909090909091,0.0013946927317215474,0.025208953525089804
V,18,1,0.05555555555555555,0.0058959292050789446,0.024273275288748397
JNJ,19,1,0.05263157894736842,-0.0015571781665543124,0.02231219974824672
